manufacturer,model,vehicle_type
,,unknown
gmc,sierra 1500 crew cab slt,truck
chevrolet,silverado 1500,truck
chevrolet,silverado 1500 crew,truck
toyota,tundra double cab sr,truck
ford,f-150 xlt,truck
gmc,sierra 2500 hd extended cab,truck
chevrolet,silverado 1500 double,truck
toyota,tacoma,truck
chevrolet,colorado extended cab,truck
chevrolet,corvette grand sport,sport
jeep,cherokee,SUV
jeep,wrangler unlimited sport,SUV
chevrolet,silverado 1500 regular,truck
chevrolet,colorado crew cab z71,truck
toyota,tacoma access cab pickup,truck
chevrolet,camaro ss coupe 2d,sport
toyota,tundra crewmax sr5 pickup,truck
ford,ranger supercrew xl pickup,truck
nissan,frontier crew cab pro-4x,unknown
jeep,compass,sport
ford,f150 super cab xl pickup 4d,truck
toyota,tacoma double cab sr5,truck
jeep,wrangler sport suv 2d,SUV
ford,f150 supercrew cab xlt,truck
ram,1500 regular cab tradesman,truck
mazda,mx-5 miata club,unknown
ford,ranger supercab xl pickup,truck
cadillac,xt4 sport suv 4d,SUV
ford,f250 super duty,truck
jeep,renegade sport suv 4d,SUV
ford,f150 regular cab xl pickup,truck
gmc,sierra 1500 regular cab,truck
honda,odyssey,sport
ram,1500 quad cab express pickup,truck
gmc,sierra 1500 extended cab slt,truck
ram,1500 classic regular cab,truck
ford,mustang gt premium,sport
ford,f450,truck
chevrolet,silverado 1500 ld,truck
toyota,tundra double cab pickup,truck
jeep,wrangler unlimited sahara,SUV
dodge,charger rt 4dr sedan,sedan
honda,civic si coupe 2d,sedan
honda,civic lx sedan 4d,sedan
ford,expedition xlt sport,sport
honda,civic ex sedan 4d,sedan
toyota,tacoma double cab pickup,truck
ford,f150 supercrew cab xl,truck
lexus,nx 300h sport utility 4d,sport
jaguar,e-pace p250 s sport,sport
buick,encore gx essence sport,sport
lexus,nx 300 sport utility 4d,sport
chrysler,town & country,unknown
volvo,s60 t5 cross country,sport
volvo,s60 t6 inscription sedan,sedan
volvo,s60 t5 momentum sedan 4d,sedan
audi,q5 premium sport utility 4d,sport
infiniti,qx60 3.5 sport utility,sport
lincoln,continental select sedan,sedan
alfa-romeo,romeo stelvio ti sport,sport
subaru,impreza,unknown
honda,,unknown
,Scion iM Hatchback 4D,unknown
acura,mdx sport utility 4d,sport
audi,a6 2.0t premium sedan 4d,sedan
hyundai,sonata sport sedan 4d,sedan
volvo,,unknown
ram,1500 crew cab tradesman,truck
gmc,sierra 1500 limited double,truck
ford,f250 super duty regular cab,truck
jeep,wrangler unlimited willys,SUV
jeep,wrangler unlimited rubicon,SUV
jeep,wrangler unlimited all new,SUV
gmc,acadia sle-2 sport utility,sport
lincoln,mkz sedan 4d,sedan
gmc,acadia slt-1 sport utility,sport
lincoln,mkz premiere sedan 4d,sedan
lexus,nx 200t sport utility 4d,sport
buick,encore gx select sport,sport
jaguar,e-pace p250 se sport,sport
toyota,fj cruiser,unknown
mercedes-benz,e320 cdi,unknown
volvo,s60 t5 inscription sedan,sedan
,blue bird bus,unknown
volvo,s60 t6 r-design sedan 4d,sedan
chevrolet,express cargo van,sport
infiniti,qx60 luxe sport utility,sport
alfa-romeo,romeo stelvio ti sport suv,SUV
hyundai,sonata sel sedan 4d,sedan
audi,a6 2.0t premium plus sedan,sedan
acura,mdx sh-awd sport utility,sport
,1966 C-30 1 ton,unknown
jeep,grand cherokee laredo,SUV
toyota,camry le sedan 4d,sedan
ram,1500 crew cab laramie pickup,truck
